City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gaigeturi,33.4644,126.3183,29.2,72,43,0.8,KR,1723853343
1,margate,51.3813,1.3862,15.94,88,92,3.77,GB,1723853343
2,puerto natales,-51.7236,-72.4875,0.36,93,75,2.18,CL,1723853343
3,grytviken,-54.2811,-36.5092,-3.67,53,0,1.1,GS,1723853344
4,port-aux-francais,-49.35,70.2167,1.23,68,56,16.34,TF,1723853344
5,port mathurin,-19.6833,63.4167,22.92,72,34,8.96,MU,1723853344
6,harnai,30.1005,67.9374,26.14,71,98,0.35,PK,1723853344
7,waitangi,-43.9535,-176.5597,9.9,81,80,2.24,NZ,1723853344
8,terra santa,-2.1042,-56.4869,27.28,45,5,1.62,BR,1723853344
9,afaahiti,-17.75,-149.2833,23.0,86,94,9.96,PF,1723853344
10,north bondi,-33.8824,151.2769,20.49,59,20,2.57,AU,1723853344
11,jining,35.405,116.5814,26.96,86,38,1.01,CN,1723853344
12,hawaiian paradise park,19.5933,-154.9731,27.63,80,100,5.14,US,1723853345
13,hermanus,-34.4187,19.2345,7.67,81,0,5.21,ZA,1723853345
14,ribeira grande,38.5167,-28.7,24.32,87,0,3.13,PT,1723853345
15,happy valley-goose bay,53.3168,-60.3315,21.46,55,88,2.1,CA,1723853345
16,fale old settlement,-9.3852,-171.2468,27.94,75,3,10.01,TK,1723853345
17,albany,42.6001,-73.9662,24.4,62,50,1.47,US,1723853345
18,tura,25.5198,90.2201,23.1,98,100,2.18,IN,1723853345
19,adamstown,-25.066,-130.1015,20.35,79,100,10.27,PN,1723853345
20,taro,-8.3862,115.28,21.01,76,7,0.92,ID,1723853345
21,salzwedel,52.85,11.15,19.27,91,85,1.9,DE,1723853345
22,kayangel,8.0823,134.7173,29.28,71,35,2.87,PW,1723853345
23,badger,64.8,-147.5333,14.14,81,100,10.29,US,1723853346
24,da lat,11.9465,108.4419,18.42,92,100,0.48,VN,1723853346
25,barcelos,41.5388,-8.6151,19.22,75,1,1.93,PT,1723853346
26,bilibino,68.0546,166.4372,4.1,99,100,2.7,RU,1723853346
27,tiksi,71.6872,128.8694,11.99,58,59,2.69,RU,1723853346
28,stanley,54.868,-1.6985,12.01,82,0,2.57,GB,1723853346
29,west island,-12.1568,96.8225,24.99,94,100,8.75,CC,1723853346
30,puerto baquerizo moreno,-0.9,-89.6,20.73,88,85,3.78,EC,1723853346
31,wailua homesteads,22.0669,-159.378,27.44,88,100,7.72,US,1723853346
32,iqaluit,63.7506,-68.5145,11.5,46,12,4.47,CA,1723853347
33,panji,-7.7253,114.0995,25.58,55,14,1.67,ID,1723853347
34,lebu,-37.6167,-73.65,8.32,71,46,7.74,CL,1723853347
35,hirara,24.8,125.2833,28.31,85,100,6.88,JP,1723853347
36,cassia,-20.5831,-46.9219,21.85,35,0,1.86,BR,1723853347
37,luderitz,-26.6481,15.1594,11.51,89,35,3.21,NA,1723853347
38,hobyo,5.3505,48.5268,24.35,83,73,12.59,SO,1723853347
39,xining,36.6167,101.7667,11.87,75,71,1.5,CN,1723853347
40,banda aceh,5.5577,95.3222,26.41,78,85,2.96,ID,1723853347
41,ouani,-12.1322,44.4258,24.82,73,0,4.61,KM,1723853347
42,bahia de kino,28.8333,-111.9333,32.83,58,8,4.38,MX,1723853347
43,tegueste,28.5167,-16.3167,22.64,53,0,5.66,ES,1723853347
44,ancud,-41.8697,-73.8203,6.05,83,57,2.87,CL,1723853348
45,laojunmiao,39.8333,97.7333,20.1,29,0,1.54,CN,1723853348
46,teknaf,20.8624,92.3058,25.61,91,96,3.97,BD,1723853348
